time,id_s,iq_s,vd_s,vq_s,W,T
0,0,0,375.5884272,0,94.24777961,0
0.0001,0,0,375.3215614,14.15599643,94.24777961,0
0.0002,0.043425728,0.000818607,374.521343,28.29187642,94.24777316,-1.02E-08
0.0003,0.086770011,0.003272801,373.1889094,42.3875521,94.24776993,-8.14E-08
0.0004,0.129971286,0.007358169,371.3261539,56.42299275,94.2477667,-3.35E-07
0.0005,0.172968206,0.01306798,368.9357236,70.37825324,94.24776346,-9.74E-07
0.0006,0.215699729,0.0203932,366.0210154,84.23350238,94.2477602,-2.28E-06
0.0007,0.258105203,0.029322498,362.5861714,97.9690511,94.24775689,-4.61E-06
0.0008,0.300124454,0.03984227,358.6360726,111.5653804,94.2477535,-8.41E-06
0.0009,0.341697868,0.051936654,354.1763323,125.0031693,94.24774996,-1.42E-05
0.001,0.382766479,0.065587556,349.213288,138.2633218,94.24774622,-2.25E-05
0.0011,0.423272052,0.080774673,343.7539926,151.3269945,94.24774217,-3.41E-05
0.0012,0.463157164,0.097475527,337.8062039,164.1756233,94.24773771,-4.96E-05
0.0013,0.502365286,0.115665491,331.3783741,176.7909496,94.2477327,-6.99E-05
0.0014,0.540840864,0.135317831,324.4796375,189.1550462,94.24772696,-9.58E-05
0.0015,0.578529397,0.15640374,317.1197976,201.2503432,94.24772032,-0.000128299
0.0016,0.615377513,0.178892381,309.3093131,213.0596524,94.24771254,-0.000168292
0.0017,0.651333049,0.202750933,301.0592832,224.5661922,94.24770336,-0.000216863
0.0018,0.686345118,0.227944633,292.3814315,235.7536112,94.24769249,-0.000275108
0.0019,0.720364187,0.254436831,283.2880898,246.6060113,94.24767961,-0.000344173
0.002,0.753342144,0.282189042,273.7921803,257.1079709,94.24766434,-0.000425253
0.0021,0.785232367,0.311160996,263.907197,267.2445659,94.24764628,-0.000519582
0.0022,0.81598979,0.341310702,253.6471873,277.0013918,94.24762499,-0.000628436
0.0023,0.845570966,0.372594504,243.0267309,286.3645836,94.24759997,-0.000753124
0.0024,0.873934128,0.404967146,232.0609203,295.3208356,94.24757069,-0.000894986
0.0025,0.901039251,0.438381833,220.7653385,303.8574205,94.24753659,-0.00105539
0.0026,0.926848103,0.472790303,209.156037,311.9622074,94.24749703,-0.001235725
0.0027,0.951324305,0.50814289,197.2495133,319.623679,94.24745135,-0.001437398
0.0028,0.974433378,0.5443886,185.0626873,326.8309478,94.24739885,-0.001661829
0.0029,0.996142793,0.581475181,172.612877,333.573772,94.24733877,-0.001910446
0.003,1.016422017,0.619349197,159.9177745,339.8425695,94.24727029,-0.002184684
0.0031,1.035242554,0.657956108,146.99542,345.6284322,94.24719258,-0.002485974
0.0032,1.05257799,0.697240343,133.864177,350.923138,94.24710474,-0.002815743
0.0033,1.068404024,0.73714538,120.5427056,355.7191628,94.24700583,-0.003175407
0.0034,1.082698506,0.77761383,107.0499365,360.0096912,94.24689485,-0.003566369
0.0035,1.095441467,0.818587517,93.40504359,363.7886261,94.24677078,-0.003990009
0.0036,1.106615144,0.860007557,79.62741698,367.0505975,94.24663254,-0.004447685
0.0037,1.116204012,0.901814447,65.73663545,369.7909699,94.246479,-0.004940725
0.0038,1.124194798,0.943948149,51.75243857,372.0058491,94.24630902,-0.005470421
0.0039,1.130576502,0.986348172,37.69469863,373.6920876,94.24612137,-0.006038028
0.004,1.135340415,1.02895366,23.58339247,374.8472893,94.24591483,-0.006644756
0.0041,1.138480125,1.071703481,9.438573024,375.4698124,94.2456881,-0.007291766
0.0042,1.139991531,1.11453631,-4.719659156,375.5587723,94.24543987,-0.007980169
0.0043,1.139872847,1.157390717,-18.87118444,375.1140427,94.24516879,-0.008711014
0.0044,1.138124601,1.200205256,-32.99589274,374.1362556,94.24487346,-0.009485293
0.0045,1.134749637,1.242918553,-47.07371207,372.6268003,94.24455247,-0.010303926
0.0046,1.129753112,1.285469388,-61.08463708,370.587822,94.24420437,-0.011167769
0.0047,1.123142481,1.327796789,-75.00875748,368.022218,94.24382769,-0.012077597
0.0048,1.114927494,1.369840111,-88.82628633,364.9336344,94.24342093,-0.01303411
0.0049,1.105120176,1.411539131,-102.5175882,361.3264601,94.24298257,-0.014037926
0.005,1.093734814,1.452834125,-116.0632069,357.2058212,94.24251108,-0.015089575
0.0051,1.080787932,1.493665957,-129.4438935,352.5775732,94.24200491,-0.016189497
0.0052,1.06629827,1.533976163,-142.6406332,347.4482932,94.24146248,-0.01733804
0.0053,1.050286753,1.573707032,-155.6346727,341.8252701,94.24088222,-0.018535456
0.0054,1.032776468,1.61280169,-168.4075469,335.7164947,94.24026255,-0.019781897
0.0055,1.013792623,1.65120418,-180.9411048,329.1306477,94.23960188,-0.021077412
0.0056,0.993362514,1.688859537,-193.2175354,322.0770881,94.23889864,-0.022421948
0.0057,0.971515487,1.725713876,-205.2193933,314.5658393,94.23815123,-0.023815341
0.0058,0.948282895,1.761714456,-216.9296233,306.6075753,94.23735808,-0.025257321
0.0059,0.923698051,1.796809764,-228.3315844,298.2136051,94.23651763,-0.026747504
0.006,0.897796183,1.830949584,-239.4090738,289.395857,94.23562832,-0.028285394
0.0061,0.870614382,1.864085068,-250.1463498,280.1668616,94.23468863,-0.02987038
0.0062,0.84219155,1.896168806,-260.5281542,270.5397338,94.23369704,-0.031501736
0.0063,0.812568342,1.927154894,-270.5397338,260.5281542,94.23265206,-0.033178616
0.0064,0.781787111,1.956998995,-280.1668616,250.1463498,94.23155225,-0.034900059
0.0065,0.749891845,1.985658407,-289.395857,239.4090738,94.23039617,-0.036664984
0.0066,0.716928107,2.013092119,-298.2136051,228.3315844,94.22918243,-0.038472191
0.0067,0.682942966,2.03926087,-306.6075753,216.9296233,94.2279097,-0.040320363
0.0068,0.647984933,2.064127207,-314.5658393,205.2193933,94.22657667,-0.042208061
0.0069,0.612103889,2.087655534,-322.0770881,193.2175354,94.22518209,-0.044133732
0.007,0.575351018,2.109812165,-329.1306477,180.9411048,94.22372474,-0.046095701
0.0071,0.537778729,2.130565367,-335.7164947,168.4075469,94.2222035,-0.048092178
0.0072,0.499440587,2.149885414,-341.8252701,155.6346727,94.22061727,-0.05012126
0.0073,0.460391229,2.167744616,-347.4482932,142.6406332,94.21896503,-0.052180928
0.0074,0.420686294,2.184117371,-352.5775732,129.4438935,94.21724582,-0.05426905
0.0075,0.380382339,2.198980188,-357.2058212,116.0632069,94.21545876,-0.056383387
0.0076,0.33953676,2.212311733,-361.3264601,102.5175882,94.21360303,-0.058521589
0.0077,0.29820771,2.224092847,-364.9336344,88.82628633,94.21167791,-0.060681202
0.0078,0.256454017,2.234306581,-368.022218,75.00875748,94.20968274,-0.062859671
0.0079,0.214335098,2.242938216,-370.587822,61.08463708,94.20761695,-0.06505434
0.008,0.171910878,2.249975283,-372.6268003,47.07371207,94.20548006,-0.067262457
0.0081,0.129241701,2.255407584,-374.1362556,32.99589274,94.20327168,-0.069481179
0.0082,0.086388246,2.259227199,-375.1140427,18.87118444,94.20099151,-0.071707571
0.0083,0.043411442,2.261428505,-375.5587723,4.719659156,94.19863936,-0.073938618
0.0084,0.00037238,2.262008178,-375.4698124,-9.438573024,94.1962151,-0.07617122
0.0085,-0.042667774,2.260965198,-374.8472893,-23.58339247,94.19371876,-0.078402203
0.0086,-0.085647867,2.258300852,-373.6920876,-37.69469863,94.19115042,-0.080628321
0.0087,-0.128506843,2.254018731,-372.0058491,-51.75243857,94.18851029,-0.082846263
0.0088,-0.171183831,2.24812472,-369.7909699,-65.73663545,94.1857987,-0.085052655
0.0089,-0.213618233,2.240626998,-367.0505975,-79.62741698,94.18301607,-0.087244067
0.009,-0.255749808,2.231536018,-363.7886261,-93.40504359,94.18016293,-0.089417017
0.0091,-0.297518757,2.220864495,-360.0096912,-107.0499365,94.17723994,-0.091567981
0.0092,-0.33886581,2.208627386,-355.7191628,-120.5427056,94.17424786,-0.093693394
0.0093,-0.37973231,2.19484187,-350.923138,-133.864177,94.17118758,-0.095789656
0.0094,-0.420060294,2.179527324,-345.6284322,-146.99542,94.16806008,-0.097853143
0.0095,-0.459792577,2.162705291,-339.8425695,-159.9177745,94.16486649,-0.099880206
0.0096,-0.498872833,2.144399453,-333.573772,-172.612877,94.16160804,-0.101867184
0.0097,-0.537245673,2.124635592,-326.8309478,-185.0626873,94.15828608,-0.103810407
0.0098,-0.574856727,2.103441561,-319.623679,-197.2495133,94.15490209,-0.105706203
0.0099,-0.611652716,2.080847235,-311.9622074,-209.156037,94.15145764,-0.107550905
0.01,-0.647581533,2.056884474,-303.8574205,-220.7653385,94.14795445,-0.109340857
0.0101,-0.682592313,2.031587076,-295.3208356,-232.0609203,94.14439435,-0.111072421
0.0102,-0.716635506,2.004990726,-286.3645836,-243.0267309,94.14077927,-0.112741986
0.0103,-0.749662948,1.97713295,-277.0013918,-253.6471873,94.13711128,-0.114345972
0.0104,-0.781627927,1.948053057,-267.2445659,-263.907197,94.13339255,-0.115880836
0.0105,-0.812485251,1.917792083,-257.1079709,-273.7921803,94.12962536,-0.117343083
0.0106,-0.842191313,1.886392734,-246.6060113,-283.2880898,94.12581212,-0.118729271
0.0107,-0.870704149,1.853899326,-235.7536112,-292.3814315,94.12195533,-0.120036016
0.0108,-0.897983498,1.820357719,-224.5661922,-301.0592832,94.11805762,-0.121260001
0.0109,-0.923990863,1.785815253,-213.0596524,-309.3093131,94.1141217,-0.122397983
0.011,-0.948689561,1.750320678,-201.2503432,-317.1197976,94.11015041,-0.123446798
0.0111,-0.972044775,1.713924091,-189.1550462,-324.4796375,94.10614668,-0.12440337
0.0112,-0.994023606,1.676676855,-176.7909496,-331.3783741,94.10211352,-0.125264716
0.0113,-1.014595116,1.638631536,-164.1756233,-337.8062039,94.09805407,-0.126027952
0.0114,-1.033730374,1.599841818,-151.3269945,-343.7539926,94.09397153,-0.126690303
0.0115,-1.051402495,1.560362436,-138.2633218,-349.213288,94.08986921,-0.127249103
0.0116,-1.067586678,1.52024909,-125.0031693,-354.1763323,94.08575049,-0.127701809
0.0117,-1.082260243,1.479558371,-111.5653804,-358.6360726,94.08161884,-0.128046
0.0118,-1.095402659,1.438347677,-97.9690511,-362.5861714,94.0774778,-0.128279388
0.0119,-1.106995576,1.396675136,-84.23350238,-366.0210154,94.07333098,-0.128399821
0.012,-1.11702285,1.354599516,-70.37825324,-368.9357236,94.06918206,-0.12840529
0.0121,-1.125470562,1.31218015,-56.42299275,-371.3261539,94.06503478,-0.128293933
0.0122,-1.132327044,1.269476842,-42.3875521,-373.1889094,94.06089295,-0.128064042
0.0123,-1.137582888,1.226549791,-28.29187642,-374.521343,94.05676043,-0.127714064
0.0124,-1.141230964,1.1834595,-14.15599643,-375.3215614,94.0526411,-0.127242614
0.0125,-1.143266428,1.140266692,-1.48E-13,-375.5884272,94.04853892,-0.12664847
0.0126,-1.143686726,1.097032223,14.15599643,-375.3215614,94.04445786,-0.125930582
0.0127,-1.142491602,1.053816994,28.29187642,-374.521343,94.04040194,-0.125088079
0.0128,-1.139683094,1.010681868,42.3875521,-373.1889094,94.0363752,-0.124120265
0.0129,-1.135265532,0.967687581,56.42299275,-371.3261539,94.03238168,-0.123026631
0.013,-1.129245531,0.924894657,70.37825324,-368.9357236,94.02842546,-0.121806851
0.0131,-1.121631983,0.88236332,84.23350238,-366.0210154,94.02451062,-0.120460791
0.0132,-1.11243604,0.84015341,97.9690511,-362.5861714,94.02064124,-0.118988506
0.0133,-1.101671101,0.7983243,111.5653804,-358.6360726,94.01682139,-0.117390249
0.0134,-1.089352793,0.756934808,125.0031693,-354.1763323,94.01305512,-0.115666466
0.0135,-1.075498944,0.716043116,138.2633218,-349.213288,94.0093465,-0.113817803
0.0136,-1.060129562,0.675706685,151.3269945,-343.7539926,94.00569954,-0.111845106
0.0137,-1.043266805,0.635982178,164.1756233,-337.8062039,94.00211822,-0.109749421
0.0138,-1.024934945,0.596925374,176.7909496,-331.3783741,93.99860651,-0.107531995
0.0139,-1.00516034,0.558591095,189.1550462,-324.4796375,93.99516831,-0.105194278
0.014,-0.98397139,0.521033122,201.2503432,-317.1197976,93.99180748,-0.102737923
0.0141,-0.961398499,0.484304124,213.0596524,-309.3093131,93.98852784,-0.100164785
0.0142,-0.937474033,0.44845558,224.5661922,-301.0592832,93.98533311,-0.097476918
0.0143,-0.912232269,0.413537709,235.7536112,-292.3814315,93.98222697,-0.09467658
0.0144,-0.885709351,0.379599396,246.6060113,-283.2880898,93.97921301,-0.091766227
0.0145,-0.857943234,0.346688123,257.1079709,-273.7921803,93.97629475,-0.088748513
0.0146,-0.828973633,0.314849907,267.2445659,-263.907197,93.97347561,-0.08562629
